TRID,TransactionDate,ToFC,FromWH,Quantity
49,2019-01-06 06:11:02,FC00002,WH00003,15
50,2019-01-06 07:01:42,FC00004,WH00003,37
51,2019-01-06 08:42:25,FC00008,WH00004,10
52,2019-01-06 11:45:59,FC00007,WH00006,22
53,2019-01-06 16:48:27,FC00001,WH00003,34
54,2019-01-06 17:09:52,FC00002,WH00002,18
55,2019-01-06 21:32:50,FC00003,WH00001,36
56,2019-01-06 22:14:53,FC00007,WH00006,24
57,2019-01-06 22:51:18,FC00007,WH00005,18
58,2019-01-06 23:02:35,FC00004,WH00002,35
59,2019-01-07 00:21:22,FC00003,WH00003,29
60,2019-01-07 00:36:44,FC00004,WH00002,35
61,2019-01-07 02:27:14,FC00005,WH00004,30
62,2019-01-07 07:47:46,FC00005,WH00006,37
63,2019-01-07 09:37:39,FC00002,WH00003,17
64,2019-01-07 12:54:04,FC00008,WH00005,36
65,2019-01-07 13:59:47,FC00005,WH00004,28
66,2019-01-07 21:10:25,FC00004,WH00002,30
67,2019-01-07 22:00:29,FC00007,WH00004,26
68,2019-01-07 23:46:56,FC00007,WH00006,38
69,2019-01-08 00:17:31,FC00006,WH00006,16
70,2019-01-08 00:44:48,FC00006,WH00005,25
71,2019-01-08 03:12:47,FC00002,WH00003,27
72,2019-01-08 04:51:35,FC00005,WH00005,19
73,2019-01-08 08:47:05,FC00004,WH00003,24
74,2019-01-08 08:47:12,FC00001,WH00003,34
75,2019-01-08 13:20:16,FC00006,WH00006,13
76,2019-01-08 15:39:45,FC00006,WH00006,25
77,2019-01-08 17:16:15,FC00001,WH00003,33
78,2019-01-08 22:08:32,FC00003,WH00002,19
79,2019-01-08 22:52:07,FC00002,WH00003,18
80,2019-01-09 00:12:40,FC00004,WH00003,33
81,2019-01-09 02:50:03,FC00004,WH00002,33
82,2019-01-09 02:52:45,FC00006,WH00005,29
83,2019-01-09 08:01:32,FC00005,WH00006,31
84,2019-01-09 11:39:43,FC00003,WH00003,18
85,2019-01-09 13:17:53,FC00001,WH00003,12
86,2019-01-09 15:29:33,FC00004,WH00002,28
87,2019-01-09 17:48:28,FC00001,WH00001,18
88,2019-01-09 20:01:53,FC00006,WH00006,20
89,2019-01-09 20:31:53,FC00001,WH00001,12
90,2019-01-09 22:49:50,FC00008,WH00005,13
91,2019-01-10 00:50:47,FC00007,WH00006,35
92,2019-01-10 04:49:35,FC00002,WH00003,17
93,2019-01-10 05:34:23,FC00007,WH00004,18
94,2019-01-10 09:41:29,FC00001,WH00002,12
95,2019-01-10 11:48:02,FC00007,WH00006,30
96,2019-01-10 13:45:11,FC00003,WH00002,24
97,2019-01-10 15:20:14,FC00007,WH00004,37
98,2019-01-10 18:27:18,FC00007,WH00006,30
99,2019-01-10 19:27:04,FC00006,WH00005,14
100,2019-01-10 21:07:27,FC00003,WH00003,39
101,2019-01-11 00:11:54,FC00001,WH00003,27
102,2019-01-11 00:31:26,FC00008,WH00006,16
103,2019-01-11 05:10:17,FC00006,WH00004,20
104,2019-01-11 05:21:00,FC00005,WH00006,32
105,2019-01-11 14:04:26,FC00001,WH00003,35
106,2019-01-11 15:07:29,FC00007,WH00006,22
107,2019-01-12 02:38:02,FC00007,WH00005,19
108,2019-01-12 03:25:55,FC00003,WH00001,39
109,2019-01-12 04:19:12,FC00003,WH00002,37
110,2019-01-12 11:13:00,FC00004,WH00003,39
111,2019-01-12 11:25:23,FC00006,WH00005,44
112,2019-01-12 13:21:12,FC00005,WH00006,25
113,2019-01-12 15:37:25,FC00007,WH00004,27
114,2019-01-12 17:35:12,FC00005,WH00005,32
115,2019-01-12 21:37:43,FC00008,WH00004,18
116,2019-01-12 22:30:43,FC00001,WH00003,24
117,2019-01-13 00:29:06,FC00003,WH00001,14
118,2019-01-13 03:01:52,FC00005,WH00005,38
119,2019-01-13 04:41:53,FC00006,WH00005,34
120,2019-01-13 07:07:06,FC00004,WH00003,23
121,2019-01-13 13:09:53,FC00008,WH00006,16
122,2019-01-13 16:56:03,FC00002,WH00003,29
123,2019-01-13 19:11:44,FC00006,WH00004,35
124,2019-01-13 19:21:09,FC00001,WH00002,36
125,2019-01-13 22:10:27,FC00002,WH00003,20
126,2019-01-13 23:55:07,FC00007,WH00006,29
127,2019-01-14 01:45:08,FC00004,WH00002,18
128,2019-01-14 02:10:09,FC00005,WH00006,35
129,2019-01-14 08:08:05,FC00002,WH00001,22
130,2019-01-14 08:20:47,FC00003,WH00001,12
131,2019-01-14 12:33:30,FC00007,WH00005,37
132,2019-01-14 14:13:31,FC00008,WH00005,34
133,2019-01-14 17:29:17,FC00003,WH00003,19
134,2019-01-14 18:40:08,FC00002,WH00001,18
135,2019-01-14 19:17:27,FC00004,WH00001,11
136,2019-01-15 02:43:41,FC00006,WH00006,14
137,2019-01-15 06:48:47,FC00002,WH00001,22
138,2019-01-15 08:40:27,FC00006,WH00004,37
139,2019-01-15 09:39:01,FC00004,WH00003,38
140,2019-01-15 12:03:22,FC00001,WH00002,27
141,2019-01-15 13:46:06,FC00002,WH00002,33
142,2019-01-15 14:12:25,FC00001,WH00003,31
143,2019-01-15 15:51:29,FC00006,WH00005,23
144,2019-01-15 19:12:09,FC00003,WH00001,26
145,2019-01-15 22:23:22,FC00007,WH00005,34
146,2019-01-15 22:24:43,FC00006,WH00005,36
147,2019-01-15 23:06:32,FC00003,WH00001,17
148,2019-01-16 01:26:42,FC00007,WH00006,22
149,2019-01-16 02:18:12,FC00006,WH00005,35
150,2019-01-16 06:47:25,FC00005,WH00005,42
151,2019-01-16 10:06:32,FC00001,WH00003,28
152,2019-01-16 10:31:49,FC00001,WH00003,17
153,2019-01-16 15:20:04,FC00002,WH00001,38
154,2019-01-17 01:13:00,FC00005,WH00006,19
155,2019-01-17 05:51:42,FC00006,WH00005,15
156,2019-01-17 06:19:19,FC00002,WH00002,17
157,2019-01-17 06:31:12,FC00002,WH00001,38
158,2019-01-17 09:12:52,FC00001,WH00002,16
159,2019-01-17 10:01:43,FC00002,WH00002,20
160,2019-01-17 12:16:41,FC00001,WH00003,25
161,2019-01-17 12:35:06,FC00005,WH00006,23
162,2019-01-17 13:28:17,FC00003,WH00001,11
163,2019-01-17 13:56:56,FC00002,WH00002,15
164,2019-01-17 14:48:23,FC00005,WH00005,24
165,2019-01-17 18:08:17,FC00005,WH00005,48
166,2019-01-17 20:14:32,FC00001,WH00002,13
167,2019-01-18 00:18:05,FC00004,WH00002,30
168,2019-01-18 00:22:09,FC00004,WH00002,10
169,2019-01-18 05:38:48,FC00002,WH00003,35
170,2019-01-18 07:44:12,FC00005,WH00005,32
171,2019-01-18 07:54:18,FC00007,WH00006,33
172,2019-01-18 09:07:32,FC00001,WH00002,12
173,2019-01-18 15:43:36,FC00001,WH00003,18
174,2019-01-18 18:11:03,FC00006,WH00005,17
175,2019-01-18 20:19:59,FC00007,WH00005,18
176,2019-01-18 22:36:20,FC00002,WH00003,24
177,2019-01-18 23:49:11,FC00007,WH00005,37
178,2019-01-19 00:48:09,FC00001,WH00003,24
179,2019-01-19 01:22:35,FC00003,WH00003,27
180,2019-01-19 06:42:38,FC00002,WH00001,25
181,2019-01-19 08:50:13,FC00004,WH00001,34
182,2019-01-19 12:14:52,FC00007,WH00006,14
183,2019-01-19 13:30:21,FC00003,WH00003,11
184,2019-01-19 13:59:30,FC00003,WH00001,23
185,2019-01-19 16:37:31,FC00005,WH00006,13
186,2019-01-19 19:53:31,FC00004,WH00003,12
187,2019-01-20 02:50:53,FC00002,WH00003,22
188,2019-01-20 06:27:05,FC00005,WH00005,42
189,2019-01-20 11:15:08,FC00003,WH00003,32
190,2019-01-20 14:54:09,FC00001,WH00001,28
191,2019-01-20 17:49:08,FC00008,WH00006,38
192,2019-01-20 19:58:50,FC00004,WH00003,28
193,2019-01-20 20:56:17,FC00005,WH00006,29
194,2019-01-20 23:27:53,FC00007,WH00005,33
195,2019-01-21 00:11:56,FC00008,WH00005,25
196,2019-01-21 01:35:53,FC00007,WH00004,20
197,2019-01-21 03:22:32,FC00008,WH00004,19
198,2019-01-21 04:31:30,FC00004,WH00001,15
199,2019-01-21 05:35:20,FC00006,WH00005,10
200,2019-01-21 06:37:20,FC00003,WH00001,37
201,2019-01-21 13:07:52,FC00001,WH00002,33
202,2019-01-21 13:55:50,FC00006,WH00006,35
203,2019-01-21 14:02:13,FC00005,WH00005,39
204,2019-01-21 15:22:28,FC00003,WH00001,31
205,2019-01-21 18:51:20,FC00007,WH00006,17
206,2019-01-22 01:08:20,FC00001,WH00002,12
207,2019-01-22 01:41:50,FC00007,WH00006,23
208,2019-01-22 06:00:04,FC00004,WH00002,15
209,2019-01-22 07:29:53,FC00007,WH00006,25
210,2019-01-22 07:34:35,FC00005,WH00004,11
211,2019-01-22 08:05:33,FC00002,WH00003,33
212,2019-01-22 14:47:36,FC00002,WH00002,11
213,2019-01-22 15:47:33,FC00002,WH00003,38
214,2019-01-22 16:01:47,FC00007,WH00006,13
215,2019-01-22 16:47:34,FC00002,WH00003,24
216,2019-01-22 23:00:49,FC00004,WH00001,30
217,2019-01-22 23:03:38,FC00001,WH00002,32
218,2019-01-22 23:52:18,FC00008,WH00006,35
219,2019-01-23 00:21:42,FC00002,WH00003,25
220,2019-01-23 07:08:52,FC00004,WH00002,28
221,2019-01-23 07:46:35,FC00003,WH00002,15
222,2019-01-23 16:23:13,FC00008,WH00005,25
223,2019-01-23 18:10:17,FC00007,WH00005,13
224,2019-01-23 18:57:44,FC00005,WH00004,26
225,2019-01-23 20:16:33,FC00001,WH00003,17
226,2019-01-23 23:05:52,FC00005,WH00004,19
227,2019-01-24 01:23:52,FC00008,WH00006,17
228,2019-01-24 03:02:01,FC00008,WH00005,27
229,2019-01-24 09:59:56,FC00002,WH00003,38
230,2019-01-24 10:08:12,FC00004,WH00003,16
231,2019-01-24 10:23:16,FC00007,WH00006,38
232,2019-01-24 13:28:10,FC00005,WH00004,38
233,2019-01-24 16:10:53,FC00002,WH00001,31
234,2019-01-24 16:15:41,FC00003,WH00002,32
235,2019-01-24 18:19:42,FC00008,WH00006,15
236,2019-01-24 19:52:18,FC00006,WH00004,35
237,2019-01-24 21:48:02,FC00004,WH00002,19
238,2019-01-24 22:04:26,FC00008,WH00005,39
239,2019-01-24 22:24:30,FC00004,WH00002,17
240,2019-01-25 03:34:47,FC00002,WH00002,20
241,2019-01-25 04:41:08,FC00006,WH00005,28
242,2019-01-25 05:51:02,FC00005,WH00006,16
243,2019-01-25 06:52:41,FC00008,WH00004,11
244,2019-01-25 06:56:51,FC00003,WH00003,35
245,2019-01-25 08:18:21,FC00002,WH00003,15
246,2019-01-25 16:31:34,FC00002,WH00001,21
247,2019-01-25 18:30:49,FC00001,WH00003,36
248,2019-01-25 20:08:47,FC00007,WH00006,18
249,2019-01-25 20:49:12,FC00003,WH00002,18
250,2019-01-25 22:09:02,FC00006,WH00006,10
251,2019-01-25 23:36:57,FC00005,WH00005,30
252,2019-01-26 01:08:49,FC00008,WH00004,18
253,2019-01-26 02:49:21,FC00005,WH00004,37
254,2019-01-26 04:12:34,FC00001,WH00003,26
255,2019-01-26 05:10:48,FC00005,WH00006,38
256,2019-01-26 05:27:28,FC00001,WH00003,39
257,2019-01-26 12:54:31,FC00003,WH00003,26
258,2019-01-26 15:23:17,FC00004,WH00003,29
259,2019-01-26 19:16:47,FC00006,WH00004,13
260,2019-01-26 20:26:04,FC00001,WH00002,37
261,2019-01-26 23:13:51,FC00001,WH00003,37
262,2019-01-27 00:58:25,FC00005,WH00004,36
263,2019-01-27 01:04:53,FC00008,WH00005,17
264,2019-01-27 03:11:33,FC00004,WH00003,32
265,2019-01-27 11:07:15,FC00008,WH00006,37
266,2019-01-27 17:11:07,FC00006,WH00005,39
267,2019-01-27 18:30:07,FC00003,WH00003,22
268,2019-01-27 23:05:42,FC00003,WH00001,33
269,2019-01-27 23:43:55,FC00004,WH00003,36
270,2019-01-28 00:29:37,FC00007,WH00005,18
271,2019-01-28 03:26:53,FC00008,WH00004,20
272,2019-01-28 05:18:03,FC00006,WH00005,28
273,2019-01-28 09:49:44,FC00004,WH00001,22
274,2019-01-28 11:11:12,FC00001,WH00001,13
275,2019-01-28 11:13:23,FC00006,WH00006,35
276,2019-01-28 11:41:58,FC00007,WH00005,24
277,2019-01-28 14:53:17,FC00006,WH00004,38
278,2019-01-28 14:58:03,FC00005,WH00004,16
279,2019-01-28 15:24:39,FC00004,WH00001,26
280,2019-01-28 15:26:07,FC00003,WH00002,10
281,2019-01-28 18:32:40,FC00005,WH00005,25
282,2019-01-28 18:54:21,FC00005,WH00005,37
283,2019-01-28 21:17:06,FC00005,WH00004,24
284,2019-01-28 21:31:32,FC00004,WH00001,13
285,2019-01-28 21:49:26,FC00008,WH00006,39
286,2019-01-28 23:40:14,FC00008,WH00006,28
287,2019-01-29 00:43:34,FC00001,WH00003,17
288,2019-01-29 04:31:44,FC00006,WH00005,34
289,2019-01-29 07:13:28,FC00008,WH00006,10
290,2019-01-29 13:00:57,FC00005,WH00005,25
291,2019-01-29 13:31:35,FC00001,WH00002,23
292,2019-01-29 22:24:36,FC00008,WH00006,33
293,2019-01-30 09:24:23,FC00005,WH00005,32
294,2019-01-30 17:10:06,FC00008,WH00006,20
295,2019-01-31 00:45:36,FC00007,WH00006,30
296,2019-01-31 01:13:10,FC00001,WH00001,17
297,2019-01-31 01:36:09,FC00003,WH00003,31
298,2019-01-31 02:52:44,FC00003,WH00001,25
299,2019-01-31 04:47:21,FC00005,WH00005,36
300,2019-01-31 05:24:03,FC00005,WH00006,13
301,2019-01-31 08:34:35,FC00005,WH00006,35
302,2019-01-31 09:58:12,FC00004,WH00002,12
303,2019-01-31 10:58:01,FC00005,WH00005,31
304,2019-01-31 11:54:09,FC00008,WH00005,31
305,2019-01-31 14:57:38,FC00006,WH00005,39
306,2019-01-31 19:05:54,FC00004,WH00002,33
307,2019-01-31 21:34:34,FC00006,WH00004,24
308,2019-01-31 21:57:39,FC00008,WH00006,32
309,2019-01-31 22:36:27,FC00004,WH00003,14
310,2019-01-31 23:16:19,FC00001,WH00001,31
311,2019-01-31 23:24:00,FC00008,WH00006,39
312,2019-02-01 00:09:43,FC00004,WH00003,33
313,2019-02-01 01:33:01,FC00001,WH00002,21
314,2019-02-01 01:47:07,FC00002,WH00003,32
315,2019-02-01 03:57:57,FC00006,WH00005,31
316,2019-02-01 05:54:53,FC00003,WH00003,38
317,2019-02-01 06:04:55,FC00001,WH00002,29
318,2019-02-01 08:05:06,FC00005,WH00006,12
319,2019-02-01 08:22:02,FC00004,WH00003,14
320,2019-02-01 08:46:16,FC00005,WH00004,18
321,2019-02-01 12:09:45,FC00007,WH00006,29
322,2019-02-01 12:17:43,FC00003,WH00001,12
323,2019-02-01 16:02:11,FC00007,WH00005,18
324,2019-02-01 23:24:22,FC00002,WH00001,39
325,2019-02-02 02:21:35,FC00004,WH00003,18
326,2019-02-02 04:00:31,FC00003,WH00003,16
327,2019-02-02 04:03:08,FC00003,WH00001,17
328,2019-02-02 06:59:21,FC00004,WH00003,35
329,2019-02-02 08:16:50,FC00001,WH00001,13
330,2019-02-02 10:35:31,FC00007,WH00004,28
331,2019-02-02 12:04:15,FC00007,WH00005,27
332,2019-02-02 13:09:38,FC00008,WH00004,11
333,2019-02-02 14:24:05,FC00002,WH00003,26
334,2019-02-02 14:26:54,FC00005,WH00006,24
335,2019-02-02 16:02:37,FC00003,WH00001,31
336,2019-02-02 16:31:53,FC00004,WH00002,33
337,2019-02-02 18:26:32,FC00005,WH00006,32
338,2019-02-02 19:27:51,FC00002,WH00003,10
339,2019-02-03 00:49:39,FC00007,WH00006,21
340,2019-02-03 04:19:43,FC00003,WH00003,24
341,2019-02-03 09:55:34,FC00005,WH00006,17
342,2019-02-03 11:14:34,FC00005,WH00004,22
343,2019-02-03 12:28:07,FC00008,WH00005,38
344,2019-02-03 12:31:21,FC00008,WH00005,32
345,2019-02-03 12:51:37,FC00002,WH00003,25
346,2019-02-03 15:31:07,FC00006,WH00006,10
347,2019-02-03 16:11:21,FC00008,WH00004,27
348,2019-02-03 17:24:08,FC00003,WH00002,28
349,2019-02-03 19:30:33,FC00006,WH00004,36
350,2019-02-03 22:02:36,FC00003,WH00003,14
351,2019-02-04 01:42:53,FC00002,WH00003,24
352,2019-02-04 07:01:16,FC00002,WH00002,21
353,2019-02-04 08:31:56,FC00004,WH00003,33
354,2019-02-04 10:23:43,FC00003,WH00001,11
355,2019-02-04 13:30:21,FC00005,WH00006,19
356,2019-02-04 16:12:02,FC00005,WH00006,31
357,2019-02-04 17:09:42,FC00005,WH00006,23
358,2019-02-04 21:37:28,FC00001,WH00001,14
359,2019-02-04 21:42:37,FC00001,WH00001,23
360,2019-02-05 04:27:41,FC00007,WH00006,38
361,2019-02-05 06:29:45,FC00005,WH00006,25
362,2019-02-05 07:26:08,FC00001,WH00001,22
363,2019-02-05 07:51:29,FC00006,WH00004,32
364,2019-02-05 09:02:17,FC00002,WH00001,13
365,2019-02-05 13:04:06,FC00004,WH00001,36
366,2019-02-05 13:58:37,FC00002,WH00003,29
367,2019-02-05 15:07:03,FC00006,WH00006,18
368,2019-02-05 16:20:08,FC00004,WH00002,15
369,2019-02-05 20:48:13,FC00007,WH00004,17
370,2019-02-05 21:19:54,FC00008,WH00006,26
371,2019-02-05 21:30:38,FC00006,WH00004,12
372,2019-02-05 22:18:41,FC00007,WH00004,22
373,2019-02-06 01:26:50,FC00005,WH00004,21
374,2019-02-06 03:16:29,FC00004,WH00002,35
375,2019-02-06 03:17:21,FC00002,WH00002,21
376,2019-02-06 04:07:08,FC00006,WH00005,15
377,2019-02-06 04:52:05,FC00005,WH00004,30
378,2019-02-06 06:46:18,FC00005,WH00004,13
379,2019-02-06 08:08:26,FC00004,WH00001,24
380,2019-02-06 08:27:00,FC00003,WH00002,33
381,2019-02-06 11:45:24,FC00007,WH00006,23
382,2019-02-06 14:40:24,FC00003,WH00003,32
383,2019-02-06 14:43:00,FC00003,WH00002,29
384,2019-02-06 14:57:44,FC00005,WH00006,22
385,2019-02-06 16:54:37,FC00005,WH00004,11
386,2019-02-06 20:44:35,FC00005,WH00005,37
387,2019-02-06 22:57:08,FC00007,WH00004,28
388,2019-02-07 09:24:46,FC00004,WH00002,14
389,2019-02-07 10:52:03,FC00003,WH00003,16
390,2019-02-07 11:33:27,FC00006,WH00005,15
391,2019-02-07 14:03:16,FC00004,WH00001,22
392,2019-02-07 15:02:57,FC00003,WH00002,14
393,2019-02-07 16:09:46,FC00005,WH00006,38
394,2019-02-07 18:03:44,FC00005,WH00005,30
395,2019-02-07 20:15:57,FC00006,WH00005,13
396,2019-02-07 22:57:40,FC00007,WH00006,12
397,2019-02-08 02:38:17,FC00003,WH00003,29
398,2019-02-08 02:48:57,FC00005,WH00004,37
399,2019-02-08 06:12:20,FC00002,WH00002,23
400,2019-02-08 07:10:51,FC00004,WH00003,13
401,2019-02-08 10:56:07,FC00007,WH00006,19
402,2019-02-08 11:35:36,FC00001,WH00001,25
403,2019-02-08 12:32:30,FC00004,WH00002,26
404,2019-02-08 14:32:44,FC00007,WH00004,26
405,2019-02-08 18:34:25,FC00007,WH00004,26
406,2019-02-08 21:53:33,FC00002,WH00003,13
407,2019-02-08 23:21:31,FC00008,WH00004,39
408,2019-02-08 23:55:08,FC00004,WH00002,29
409,2019-02-09 06:49:49,FC00002,WH00003,30
410,2019-02-09 10:57:05,FC00005,WH00005,36
411,2019-02-09 16:38:26,FC00006,WH00005,29
412,2019-02-09 16:40:30,FC00008,WH00004,10
413,2019-02-09 18:24:39,FC00005,WH00005,37
414,2019-02-09 23:13:33,FC00005,WH00005,28
415,2019-02-10 01:18:59,FC00007,WH00005,21
416,2019-02-10 01:25:21,FC00008,WH00004,22
417,2019-02-10 02:18:17,FC00001,WH00002,22
418,2019-02-10 02:28:54,FC00003,WH00003,16
419,2019-02-10 02:38:40,FC00004,WH00002,16
420,2019-02-10 03:25:48,FC00005,WH00006,15
421,2019-02-10 06:06:12,FC00008,WH00006,33
422,2019-02-10 06:22:53,FC00001,WH00003,27
423,2019-02-10 09:11:46,FC00003,WH00003,27
424,2019-02-10 11:26:12,FC00005,WH00005,31
425,2019-02-10 14:13:09,FC00001,WH00002,17
426,2019-02-10 21:01:51,FC00003,WH00003,14
427,2019-02-10 21:41:57,FC00002,WH00003,11
428,2019-02-10 23:03:46,FC00005,WH00004,35
429,2019-02-10 23:15:57,FC00004,WH00001,15
430,2019-02-10 23:23:11,FC00005,WH00006,25
431,2019-02-10 23:54:02,FC00007,WH00006,10
432,2019-02-10 23:57:35,FC00004,WH00002,10
433,2019-02-11 01:34:14,FC00002,WH00002,37
434,2019-02-11 03:43:35,FC00005,WH00006,11
435,2019-02-11 06:45:35,FC00003,WH00003,30
436,2019-02-11 11:39:11,FC00004,WH00003,36
437,2019-02-11 16:18:25,FC00004,WH00002,33
438,2019-02-11 18:06:54,FC00005,WH00005,34
439,2019-02-11 19:11:49,FC00005,WH00006,13
440,2019-02-11 20:44:37,FC00001,WH00003,24
441,2019-02-11 23:43:35,FC00002,WH00002,37
442,2019-02-12 00:34:11,FC00003,WH00001,19
443,2019-02-12 01:00:49,FC00004,WH00003,35
444,2019-02-12 02:24:51,FC00003,WH00001,36
445,2019-02-12 03:24:54,FC00006,WH00004,48
446,2019-02-12 03:42:43,FC00008,WH00004,16
447,2019-02-12 05:04:51,FC00005,WH00005,36
448,2019-02-12 06:20:36,FC00007,WH00004,39
449,2019-02-12 06:54:36,FC00003,WH00003,36
450,2019-02-12 09:24:52,FC00006,WH00005,31
451,2019-02-12 12:21:15,FC00003,WH00003,17
452,2019-02-12 13:28:41,FC00006,WH00004,36
453,2019-02-12 16:33:42,FC00003,WH00002,10
454,2019-02-12 18:38:35,FC00002,WH00003,34
455,2019-02-12 19:10:11,FC00005,WH00006,31
456,2019-02-12 21:18:32,FC00002,WH00001,34
457,2019-02-12 23:15:22,FC00004,WH00001,35
458,2019-02-13 00:34:56,FC00002,WH00002,24
459,2019-02-13 01:51:04,FC00008,WH00004,21
460,2019-02-13 06:17:12,FC00006,WH00004,29
461,2019-02-13 08:05:51,FC00001,WH00003,18
462,2019-02-13 10:22:04,FC00001,WH00001,30
463,2019-02-13 10:36:04,FC00005,WH00005,29
464,2019-02-13 11:40:50,FC00006,WH00004,32
465,2019-02-13 14:01:23,FC00003,WH00003,27
466,2019-02-13 16:00:09,FC00005,WH00006,29
467,2019-02-13 19:04:30,FC00007,WH00004,38
468,2019-02-13 19:51:55,FC00005,WH00004,25
469,2019-02-14 01:02:40,FC00006,WH00004,18
470,2019-02-14 01:55:59,FC00005,WH00004,39
471,2019-02-14 02:49:59,FC00004,WH00001,29
472,2019-02-14 03:41:22,FC00004,WH00002,23
473,2019-02-14 04:50:35,FC00003,WH00003,22
474,2019-02-14 05:00:22,FC00001,WH00003,34
475,2019-02-14 05:41:40,FC00002,WH00003,24
476,2019-02-14 07:27:33,FC00003,WH00002,37
477,2019-02-14 08:17:50,FC00004,WH00002,16
478,2019-02-14 09:40:01,FC00001,WH00003,29
479,2019-02-14 10:40:36,FC00005,WH00005,33
480,2019-02-14 11:30:56,FC00003,WH00001,35
481,2019-02-14 12:41:20,FC00007,WH00004,26
482,2019-02-14 13:28:34,FC00003,WH00003,19
483,2019-02-14 15:55:36,FC00004,WH00003,28
484,2019-02-14 16:39:25,FC00004,WH00003,20
485,2019-02-14 17:00:22,FC00006,WH00006,15
486,2019-02-14 22:17:15,FC00002,WH00003,23
487,2019-02-15 08:31:31,FC00007,WH00005,26
488,2019-02-15 08:53:32,FC00004,WH00002,11
489,2019-02-15 10:24:29,FC00007,WH00005,23
490,2019-02-15 16:29:47,FC00007,WH00005,28
491,2019-02-15 19:17:26,FC00001,WH00003,15
492,2019-02-15 20:06:54,FC00008,WH00005,22
493,2019-02-15 21:20:05,FC00005,WH00004,14
494,2019-02-15 21:24:08,FC00007,WH00004,38
495,2019-02-15 22:08:31,FC00001,WH00003,36
496,2019-02-15 22:46:02,FC00003,WH00002,18
497,2019-02-16 04:08:46,FC00004,WH00002,16
498,2019-02-16 07:53:44,FC00005,WH00005,20
499,2019-02-16 09:24:18,FC00003,WH00001,13
500,2019-02-16 09:24:54,FC00006,WH00006,36
501,2019-02-16 09:31:09,FC00001,WH00003,10
502,2019-02-16 09:46:11,FC00004,WH00003,18
503,2019-02-16 10:41:06,FC00006,WH00005,29
504,2019-02-16 11:05:59,FC00007,WH00005,33
505,2019-02-16 14:52:16,FC00005,WH00005,31
506,2019-02-16 15:29:40,FC00008,WH00006,11
507,2019-02-16 16:34:07,FC00003,WH00002,35
508,2019-02-16 16:46:01,FC00008,WH00004,21
509,2019-02-16 20:08:40,FC00004,WH00002,32
510,2019-02-16 21:08:57,FC00007,WH00006,30
511,2019-02-16 22:45:43,FC00007,WH00006,13
512,2019-02-16 23:15:21,FC00002,WH00003,35
513,2019-02-16 23:56:20,FC00004,WH00001,22
514,2019-02-17 00:19:07,FC00001,WH00001,31
515,2019-02-17 02:12:46,FC00001,WH00003,37
